,COUNTY,JUDGES
379,"Superior Court of California, County of Los Angeles",Hon. Michele E. Flurer
380,"Superior Court of California, County of Los Angeles",Hon. Harry Jay Ford III
381,"Superior Court of California, County of Los Angeles",Hon. Lori A. Fournier
382,"Superior Court of California, County of Los Angeles",Hon. Ronald F. Frank
383,"Superior Court of California, County of Los Angeles",Hon. Kenneth R. Freeman
384,"Superior Court of California, County of Los Angeles",Hon. Graciela L. Freixes
385,"Superior Court of California, County of Los Angeles",Hon. Maame Ewusi-Mensah Frimpong
386,"Superior Court of California, County of Los Angeles",Hon. Christopher J. Frisco
387,"Superior Court of California, County of Los Angeles","Hon. Richard L. Fruin, Jr."
388,"Superior Court of California, County of Los Angeles",Hon. Holly J. Fujie
389,"Superior Court of California, County of Los Angeles",Hon. Fred J. Fujioka
390,"Superior Court of California, County of Los Angeles",Hon. Michael Garcia
391,"Superior Court of California, County of Los Angeles",Hon. Ruben N. Garcia
392,"Superior Court of California, County of Los Angeles",Hon. Emily S. Garcia Uhrig
393,"Superior Court of California, County of Los Angeles",Hon. Sherilyn P. Garnett
394,"Superior Court of California, County of Los Angeles",Hon. Brian F. Gasdia
395,"Superior Court of California, County of Los Angeles",Hon. Karen Ackerson Gauff
396,"Superior Court of California, County of Los Angeles",Hon. David B. Gelfound
397,"Superior Court of California, County of Los Angeles",Hon. Danielle R.A. Gibbons
398,"Superior Court of California, County of Los Angeles",Hon. Rene C. Gilbertson
399,"Superior Court of California, County of Los Angeles",Hon. Alexander C.D. Giza
400,"Superior Court of California, County of Los Angeles","Hon. Bert Glennon, Jr."
401,"Superior Court of California, County of Los Angeles",Hon. Danette J. Gomez
402,"Superior Court of California, County of Los Angeles",Hon. Gus Gomez
403,"Superior Court of California, County of Los Angeles",Hon. Stephen I. Goorvitch
404,"Superior Court of California, County of Los Angeles",Hon. Scott M. Gordon
405,"Superior Court of California, County of Los Angeles",Hon. Rupa S. Goswami
406,"Superior Court of California, County of Los Angeles",Hon. Richard M. Goul
407,"Superior Court of California, County of Los Angeles",Hon. Dianna J. Gould-Saltman
408,"Superior Court of California, County of Los Angeles",Hon. Terry A. Green
409,"Superior Court of California, County of Los Angeles",Hon. Victor H. Greenberg
410,"Superior Court of California, County of Los Angeles",Hon. Thomas J. Griego
411,"Superior Court of California, County of Los Angeles",Hon. Donna Groman
412,"Superior Court of California, County of Los Angeles",Hon. Marc D. Gross
413,"Superior Court of California, County of Los Angeles",Hon. Kimberley Baker Guillemet
414,"Superior Court of California, County of Los Angeles",Hon. Christian R. Gullón
